Missing Docstring for method 'if_ready',in Class 'SubSupportBase', in module 'subsupport_abstract', with path 'antipetros_discordbot/abstracts/subsupport_abstract.py'
Missing Docstring for method 'cog_before_invoke',in Class 'GiveAwayCog', in module 'give_away_cog', with path 'antipetros_discordbot/cogs/community_events_cogs/give_away_cog.py'

Missing Docstring for method 'cog_check',in Class 'GiveAwayCog', in module 'give_away_cog', with path 'antipetros_discordbot/cogs/community_events_cogs/give_away_cog.py'

Missing Docstring for method 'cog_command_error',in Class 'GiveAwayCog', in module 'give_away_cog', with path 'antipetros_discordbot/cogs/community_events_cogs/give_away_cog.py'

Missing Docstring for method 'cog_unload',in Class 'GiveAwayCog', in module 'give_away_cog', with path 'antipetros_discordbot/cogs/community_events_cogs/give_away_cog.py'

Missing Docstring for method 'give_away_finished',in Class 'GiveAwayCog', in module 'give_away_cog', with path 'antipetros_discordbot/cogs/community_events_cogs/give_away_cog.py'

Missing Docstring for method 'notify_author',in Class 'GiveAwayCog', in module 'give_away_cog', with path 'antipetros_discordbot/cogs/community_events_cogs/give_away_cog.py'

Missing Docstring for method 'on_raw_reaction_add',in Class 'GiveAwayCog', in module 'give_away_cog', with path 'antipetros_discordbot/cogs/community_events_cogs/give_away_cog.py'

Missing Docstring for method 'on_ready_setup',in Class 'GiveAwayCog', in module 'give_away_cog', with path 'antipetros_discordbot/cogs/community_events_cogs/give_away_cog.py'

Missing Docstring for method 'remove_give_away',in Class 'GiveAwayCog', in module 'give_away_cog', with path 'antipetros_discordbot/cogs/community_events_cogs/give_away_cog.py'

